15_inch_main_armament;15-inch Main Armament
acquire_substate_region;Acquire substate region
acquire_substate_region_desc;Acquire a region from enemy 即substate劬
acquire_substate_region_setup;Acquire $STATE$ from $RECIPIENT$
acquire_substate_region_short;Acquire $STATE$
ACT_NO_SELF;We cannot negotiate with ourselves.
ACT_WARDESC;Declaring war will allow our troops to attack theirs and allow us to enter their country. War will continue until either party surrenders.
ACTIVATE_GOODS;Activate: 
ACTIVATE_TECH_EFFECT;Activate technology: 即$NAME$e!
active_p;Active
ACTUAL_BOUGHT;Actual bought: $VAL$
ACW_DESC;Civil war rages in North America as the Conferate States attempt to secede from the Union. The outcome is uncertain, but already this promises to be a new type of war as both sides have access to railroads, telegraphs, and repeating rifles. Meanwhile, in Europe, Great Britain is experimenting with the first iron-hulled steam-driven warship, a combination which promises to revolutionise the war at sea. World wide the industrial revolution is gathering speed as more and more nations start to industrialise. The times they are a-changing.
ACW_NAME;A House Divided
ad_hoc_money_bill_printing;Ad-Hoc Money Bill Printing
ad_hoc_money_bill_printing_desc;Ad-Hoc Money Bill Printing
ADAPTING_HISTORY;Adapting History...
ADD_ACCEPTED_CULTURE;即$CULTURE$劬 added as accepted culture.\n
ADD_BUILDING;Gain 即$NAME$劬 in 即$WHERE$劬.\n
ADD_BUILDING_EFFECT;Gain a 即$BUILDING$劬 with level 即$VALUE$劬 in 即$PROVINCE$劬.\n
ADD_CRIME;Gain 即$NAME$劬.\n
ADD_CRUDE_OIL_EFFECT;Gain eG$VALUE$劬 crude oil劬.\n
ADD_DISSENT_EFFECT;Gain 刪$VALUE$劬 in dissent劬.\n
ADD_ENERGY_EFFECT;Gain eG$VALUE$劬 energy劬.\n
ADD_METAL_EFFECT;Gain eG$VALUE$劬 metal劬.\n
ADD_MONEY_EFFECT;Gain eG$VALUE$劬e劬.\n
ADD_NEUTRALITY_EFFECT;即$COUNTRY$劬 gains 刪$VALUE$劬 in neutrality劬.\n
ADD_ORGANISATION_POPULARITY_EFFECT;即$IDEOLOGY$劬 gains eG$ORGANISATION$劬 in organisation and eG$POPULARITY$劬 in popularity劬.\n
ADD_PROVINCE_CRUDE_OIL_EFFECT;Gain eG$VALUE$劬 crude oil in 即$PROVINCE$劬.\n
ADD_PROVINCE_ENERGY_EFFECT;Gain eG$VALUE$劬 energy in 即$PROVINCE$劬.\n
ADD_PROVINCE_METAL_EFFECT;Gain eG$VALUE$劬 metal in 即$PROVINCE$劬.\n
ADD_PROVINCE_MONEY_EFFECT;Gain eG$VALUE$劬 e in 即$PROVINCE$劬.\n
ADD_PROVINCE_RARE_MATERIALS_EFFECT;Gain eG$VALUE$劬 rare materials in 即$PROVINCE$劬.\n
ADD_PROVINCE_SUPPLIES_EFFECT;Gain eG$VALUE$劬 supplies in 即$PROVINCE$劬.\n
ADD_RARE_MATERIALS_EFFECT;Gain eG$VALUE$劬 rare materials劬.\n
ADD_RELATIVE_INCOME_EFFECT;Treasury: $VALUE$e
ADD_RULING_PARTY_ORG_EFFECT;$NAME$ gains 即$VALUE$劬 organisation.
ADD_RULING_PARTY_POP_EFFECT;$NAME$ gains 即$VALUE$劬 popularity.\n
ADD_SUB_UNIT_EFFECT;Get $UNIT$ in 即$WHERE$劬.
ADD_SUPPLIES_EFFECT;Gain eG$VALUE$劬 supplies劬.\n
ADD_THREAT_EFFECT;即$COUNTRY$劬 gains 刪$VALUE$劬 threat on 即$TARGET_COUNTRY$劬.\n
add_to_sphere;Add to Sphere
add_to_sphere_desc;Add country to our 即Sphere of Influence劬
add_to_sphere_setup;Add $RECIPIENT$ to Sphere of Influence
add_to_sphere_short;Add $RECIPIENT$ to Sphere of Influence
ADD_UNITY_EFFECT;Gain eG$VALUE$劬 unity劬.\n
ADD_WARGOAL_DESC;Require $COST$ war score to demand
ADD_WARGOAL_EFFECT;When we add this war goal, we will gain:
ADD_WARGOAL_FAILURE;If we fail to achive this war goal, we will gain:
ADD_WARGOAL_INFAMY;If we add this war goal to our war, we will gain $COST$ 即infamy劬
ADD_WARGOAL_MILITANCY;If we fail to achive this war goal, our entire population will gain $MILITANCY$ 即Militancy劬
ADD_WARGOAL_PEACE_COST;Costs $COST$ war score to demand in a peace deal
ADD_WARGOAL_PRESTIGE;If we achive this war goal, we will gain $COST$ 即prestige劬
ADD_WARGOAL_SUCCESS;If we achive this war goal, we will gain:
ADD_WARGOAL_WARGOAL;War goal: 即$GOAL$劬
ADDTOSPHERE_BUTTON;Add to Sphere
ADDTOSPHERE_DESC;Adds this country to our Sphere of Influence.
ADDTOSPHERE_DI;Add to Sphere
ADDTOSPHERE_OTHER_ACCEPT_1;即$RECIPIENT$劬
ADDTOSPHERE_OTHER_ACCEPT_2;$MONARCHTITLE$, we heard news that
ADDTOSPHERE_OTHER_ACCEPT_3;即$RECIPIENT$劬 has been included in the 
ADDTOSPHERE_OTHER_ACCEPT_4;Sphere of Influence of 即$ACTOR$劬.
ADDTOSPHERE_OTHER_ACCEPT_5;*
ADDTOSPHERE_OTHER_ACCEPT_6;*
ADDTOSPHERE_OTHER_ACCEPT_BTN1;OK
ADDTOSPHERE_OTHER_ACCEPT_BTN2;OK
ADDTOSPHERE_OTHER_ACCEPT_BTN3;Go to
ADDTOSPHERE_OTHER_ACCEPT_HEADER;The Foreign Minister reports
ADDTOSPHERE_OTHER_ACCEPT_LOG;$ACTOR$ has included $RECIPIENT$ in their Sphere of Influence.
ADDTOSPHERE_OTHER_ACCEPT_SETUP;When a nation is added to another nation's Sphere of Influence
ADDTOSPHERE_THEY_ACCEPT_1;即$RECIPIENT$劬
ADDTOSPHERE_THEY_ACCEPT_2;$MONARCHTITLE$, we have included
ADDTOSPHERE_THEY_ACCEPT_3;即$RECIPIENT$劬 in our Sphere of Influence.
ADDTOSPHERE_THEY_ACCEPT_4;*
ADDTOSPHERE_THEY_ACCEPT_5;*
ADDTOSPHERE_THEY_ACCEPT_6;*
ADDTOSPHERE_THEY_ACCEPT_BTN1;OK
ADDTOSPHERE_THEY_ACCEPT_BTN2;OK
ADDTOSPHERE_THEY_ACCEPT_BTN3;Go to
ADDTOSPHERE_THEY_ACCEPT_HEADER;The Foreign Minister reports
ADDTOSPHERE_THEY_ACCEPT_LOG;We have included $RECIPIENT$ in our Sphere of Influence.
ADDTOSPHERE_THEY_ACCEPT_MAP;Added to Sphere
ADDTOSPHERE_THEY_ACCEPT_SETUP;When we add a nation to our Sphere of Influence
ADDTOSPHERE_WE_ACCEPT_1;即$RECIPIENT$劬
ADDTOSPHERE_WE_ACCEPT_2;$MONARCHTITLE$, we have been included in
ADDTOSPHERE_WE_ACCEPT_3;the Sphere of Influence of 即$ACTOR$劬.
ADDTOSPHERE_WE_ACCEPT_4;*
ADDTOSPHERE_WE_ACCEPT_5;*
ADDTOSPHERE_WE_ACCEPT_6;*
ADDTOSPHERE_WE_ACCEPT_BTN1;OK
ADDTOSPHERE_WE_ACCEPT_BTN2;OK
ADDTOSPHERE_WE_ACCEPT_BTN3;Go to
ADDTOSPHERE_WE_ACCEPT_HEADER;The Foreign Minister reports
ADDTOSPHERE_WE_ACCEPT_LOG;$ACTOR$ has included us in their Sphere of Influence.
ADDTOSPHERE_WE_ACCEPT_MAP;Added to Sphere
ADDTOSPHERE_WE_ACCEPT_SETUP;When we are added to a nation's Sphere of Influence
ADDTOSPHERETITLE;Add to Sphere of Influence
ADJ_FORT_EXTRA_ATTR;And 刪+$VAL$%劬 from hostile adjacent forts.
ADM_DESC;Spending on administration allows your bureaucrats to run and maintain a healthy bureaucracy, increasing your tax efficiency.
ADM_EFF_TECH;Adm. Eff.
ADM_EXPLAIN_DESC;This needed percentage is based on the following.\n
admin_reform;Administrative reform
admin_reform_l;Administrative reform
ADMINISTRATION;Administration
ADMINISTRATIVE_TAX_EFFICIENCY;Administrative Tax Efficiency: 即$VALUE$劬%.
ADMIRAL;Admiral
adolph_wagner;Adolph Wagner
adolph_wagner_desc;Although one of the more active members of Schmoller's Verein, Wagner actually supported Menger in the Methodenstreit. His work on public finance is what he is best known for in economics. Outside economics, he was a companion of Lassalle and Rodbertus - although not sharing wholly in their socialist ideals and of more conservative instincts in political matters, Wagner was a severe critic of unfettered capitalism and recommended state alleviation of the burden upon labor. He wrote Science of Finance Vol 1-4 (1877-1901), and Foundations of Political Economy (1876). 
adopt_die_stem_desc;Ons sal lewe, ons sal sterwe,\nOns vir jou, Suid-Afrika.'\n\n'Die Stem van Suid-Afrika', or 'The Call of South-Africa' in English, although it gained official status as South Africa's national anthem only in 1957 had, for a long time prior, been unofficially used in that capacity. Originally written as a poem by C.J. Langehoven in 1918, the piece had music composed for it in 1921 by Marthinus Lourens de Villiers. 'Die Stem' saw frequent use in the broadcasts of the African Broadcasting Company, which played it at the end of daily broadcasts, along with God Save the King. Adopt 'Die Stem', and let us give our young country a proper anthem!
adopt_die_stem_title;Adopt 'Die Stem'
advanced_battlecruisers;Advanced Battlecruisers
advanced_battlecruisers_desc;In the immediate aftermath of the First World War, many battlecruisers under construction were scrapped or converted to aircraft cruisers. Those battlecruisers that remained were refitted with improved main armament and enhanced armour protection.
advanced_battleships;Advanced Battleships
advanced_battleships_desc;The experiences of the First World War lead to a series of design improvements for battleships, including a more effective use of armour protection to defend against plunging fire, improved protection against torpedoes, the widespread use of oil-driven propulsion, and further refinements in armament and fire control. Though few battleships were constructed in the first years after the First World War, due to economic constraints and treaty limitations, existing battleships were refitted to incorporate these advances in design.
advanced_cruisers;Advanced Cruisers
advanced_cruisers_desc;By the early 1920s cruiser design focused on two main types: light cruisers, generally with 6-inch main armament, and heavy cruisers, generally with 8-inch main armament. Their primary roles were fleet support in combination with destroyers, defence of sea lanes, and raiding.
advanced_destroyers;Advanced Destroyers
advanced_destroyers_desc;The evolution of the submarine into a potent threat to warships and merchant ships alike resulted in the evolution of destroyers to assume the primary role for defending against them, as opposed to their former role of defending the main battle fleet from torpedo boats. Thus the first years after the First World War saw improvements in destroyer design that aimed to enhance their ability to find and sink submarines, such as the implementation and refinement of SONAR.
advanced_fire_control;Advanced Fire Control
advanced_fire_control_desc;Advances in main armament and warship construction resulted in capital ships with more and larger main guns, capable of firing shells over great distances. It became increasingly important to simultaneously develop advanced methods of measuring where shells landed and deriving from these observations accurate measurements of where the main guns should be aimed in order to achieve hits on enemy warships.
advanced_metallurgy;Advanced Metallurgy
advanced_metallurgy_desc;Advanced Metallurgy
advanced_naval_design;Advanced Naval Design
advanced_naval_design_desc;Advanced Naval Design
advanced_ore_grinding_processes;Advanced Ore Grinding Processes
advanced_ore_grinding_processes_desc;This process cleaned the ore from by products that tended to defect the latter finished metal. By using this technique the finished metal would have higher quality, durability and because of the large quantity turnover lower price.
advanced_ore_roasting_processes;Advanced Ore Roasting Processes
advanced_ore_roasting_processes_desc;This process cleaned the ore from by products that tended to defect the latter finished metal. By using this technique the finished metal would have higher quality, durability and because of the large quanity turnover lower price.
advanced_ore_smelting_processes;Advanced Ore Smelting Processes
advanced_ore_smelting_processes_desc;This process cleaned the ore from by products that tended to defect the latter finished metal. By using this technique the finished metal would have higher quality, durability and because of the large quantity turnover lower price.
advanced_submarines;Advanced Submarines
advanced_submarines_desc;The lessons learned from submarine warfare during the First World War were applied to submarine construction in the 1920s and 1930s, further enhancing the submarine as a weapon of naval warfare.
adventurer;Adventurer
aerial_bacteria_and_antiseptic_principle;Aerial Bacteria and Antiseptic Principle
aerial_bacteria_and_antiseptic_principle_desc;The discovery of aerial bacteria and the development of antiseptics revolutionized life for humanity. No longer did open wounds mean amputation or death, now infections and even fevers could be cured with modern medicine.
aeronautics;Aeronautics
aeronautics_desc;Aeronautics
aeroplane_factory;Aeroplane Factory
aeroplane_factory;Aeroplane Factory
aeroplane_factory_desc;Machine parts, electric gear and rubber are needed to produce aeroplanes.
aeroplanes;Aeroplanes
aesthetics;Aesthetics
aesthetics_desc;This area involves the development and refinements in Literature, Art and Music.
afar;Afar
AFG;Afghanistan
AFG_1214;Western Afghanistan
AFG_1217;Eastern Afghanistan
AFG_ADJ;Afghan
AFG_anarcho_liberal;The Radical Faction
AFG_communist;The Communist Faction
AFG_conservative;Amir Faction
AFG_fascist;The Fascist Faction
AFG_liberal;Pashah Faction
AFG_liberal_2;The Liberal Faction
AFG_reactionary;The Nationalist Faction
AFG_socialist;The Socialist Faction
africa;Africa
african_diaspora_cultures;African Diaspora Cultures
african_minor;African Minor
afro_american;Afro American
afro_antillean;Afro Antillean
afro_brazilian;Afro Brazilian
afro_caribbean;Afro Caribbean
afro_caribeno;Afro Caribeno
aggressive;Aggressive
AGREE;Agree
AGREE_RP_TR;At least 即$VAL$%劬 is of the same ideology as the ruling party.
AGRESSION_CIVIL_WAR_NAME;$ORDER$$FIRST$ Civil War
AGRESSION_UNIFICATION_HUMILIATE_NAME;The $FIRST$-$SECOND$ Brother's War
AGRESSION_WAR_ADD_SPHERE_NAME;$ORDER$War of $SECOND$ Subjugation
AGRESSION_WAR_COLONIAL_NAME;$ORDER$$FIRST$ Colonial War for $STATE$
AGRESSION_WAR_CONCESSION_NAME;$ORDER$ War of The $STATE$ Concession
AGRESSION_WAR_CONQUEST_NAME;$ORDER$War of $FIRST$ Aggression against $SECOND_COUNTRY$
AGRESSION_WAR_FREE_NAME;$ORDER$$FIRST$ War of Propping up $COUNTRY$
AGRESSION_WAR_INDEPENDENCE_NAME;$ORDER$$FIRST$ War of Independence
AGRESSION_WAR_LIBERATE_NAME;$ORDER$$FIRST$ War of $COUNTRY_ADJ$ Liberation
AGRESSION_WAR_NAME;$ORDER$War of $FIRST$ Aggression
AGRESSION_WAR_PROTECTORATE_NAME;$ORDER$ Acquisition of $FIRST$ $SECOND_COUNTRY$
AGRESSION_WAR_RESTORE_ORDER_NAME;$ORDER$$FIRST$ Restoration of Order to the $SECOND$ provinces
AGRESSION_WAR_RUDEBOI_NAME;$ORDER$$FIRST$ War of $SECOND$ Containment
AGRESSION_WAR_TAKE_CORE_NAME;$ORDER$$FIRST$ Aggression for $STATE$
AGRESSION_WAR_TAKE_NAME;$ORDER$$FIRST$ War of $STATE$
AGRESSION_WAR_TAKE_SPHERE_NAME;$ORDER$$FIRST$-$SECOND$ War over $COUNTRY$
AGRESSION_WAR_UNIFICATION_ANNEX_NAME;$ORDER$ $FIRST$ Liberation of $SECOND_COUNTRY$
AGRESSION_WAR_UNIFICATION_NAME;$ORDER$ $FIRST$ Liberation of $STATE$
AI;AI
AI_DIPLO_NO;They will not accept
AI_DIPLO_YES;They will accept
AI_DIPLOMATIC_VALUE;Diplomatic Value
aimara;Aimara
ainu;Ainu
AIREASON_ALLY;Ally
AIREASON_ALLY_OF_ALLY;Ally of Ally
AIREASON_ATTACKING_ALLY;Attacking Ally
AIREASON_ATTACKING_ENEMIES;Attacking Enemies
AIREASON_ATTACKING_FRIENDS;Attacking Friends
AIREASON_BACKED_BY_ALLY;Backed by Ally
AIREASON_BADBOY;Infamy
AIREASON_BASE_RELUCTANCE;Base Reluctance
AIREASON_CIV_VS_UNCIV;Civilized vs Uncivilized
AIREASON_COMMON_FOE;Common Foe
AIREASON_CONSTRUCTING_CB;Strategic Interests
AIREASON_CRISIS_OFFER;$WARGOAL$:
AIREASON_CURRENT_WARS;Current Wars
AIREASON_DESIRES_GP_ALLY;Wants a Great Power ally
AIREASON_DIFFERENT_GOVTYPES;Government Type
AIREASON_DIPLOMATIC_GOALS;Political Considerations
AIREASON_DISTANCE;Distance
AIREASON_GP_RELATIONS;Opinion
AIREASON_HELD_CORES;Owns Core Provinces
AIREASON_NEGATIVE_RELATIONS;Negative Relations
AIREASON_NOT_OVERLORD;Not my Overlord
AIREASON_OTHER_SPHERE;Other Sphere
AIREASON_OTHER_SPHERE_LEADER;Other Sphere Leader
AIREASON_OUR_CASUS_BELLI;Our Casus Belli
AIREASON_OUR_SPHERE;Our Sphere
AIREASON_OVERLORD;Overlord
AIREASON_RELATIONS;Relations
AIREASON_RELATIVE_ARMY_STRENGTH;Army Strength
AIREASON_RELATIVE_NAVY_STRENGTH;Navy Strength
AIREASON_STRATEGIC_INTERESTS;Strategic Interests
AIREASON_THREATS;Threats
AIREASON_TOO_EARLY_IN_CRISIS;Early in Crisis
AIREASON_TOO_MANY_ALLIANCES;Too Many Alliances
AIREASON_TOO_MANY_CRISIS_WARGOALS;Added Wargoals
AIREASON_TOO_MANY_GP_ALLIES;Too many Great Power allies
AIREASON_WAR_WITH_SPHERE_LEADER;War with Sphere Leader
AIREASON_YOUR_CASUS_BELLI;Your Casus Belli
AIRWINGS;Air Units
akan;Akan
alaskan_purchase_desc;After the events of the Crimean War Russia had begun believing that it could not hope to protect its North American possessions in the event of another war with Britain, and had begun considering a sale of what was to become the U.S. state of Alaska. The territory was bought by the United States in 1867 at the price of 2.3 cents per acre. The Alaska purchase was widely derided in the American press of the day as 'Seward's Icebox' after then Secretary of State William H. Seward, at whose initiative the purchase was made.
alaskan_purchase_title;Seward's Icebox
ALB;Albania
ALB_ADJ;Albanian
ALB_anarcho_liberal;The Radical Faction
ALB_communist;The Communist Faction
ALB_conservative;Pasha Faction
ALB_conservative_2;Royal Faction
ALB_fascist;The Fascist Faction
ALB_liberal;National Assembly
ALB_liberal_2;The Liberal Faction
ALB_reactionary;League of Pirzen
ALB_reactionary_2;The Nationalist Faction
ALB_socialist;The Socialist Faction
albanian;Albanian
ALD;Algeria
ALD_1704;Tlemcen
ALD_1708;Constantine
ALD_ADJ;Algerian
ALD_anarcho_liberal;The Radical Faction
ALD_communist;The Communist Faction
ALD_conservative;Bey Faction
ALD_fascist;The Fascist Faction
ALD_liberal;Conceil General
ALD_liberal_2;Jeunesse Algerienne
ALD_liberal_3;The Liberal Faction
ALD_reactionary;Amir Faction
ALD_reactionary_2;The Nationalist Faction
ALD_socialist;The Socialist Faction
alfred_marshall;Alfred Marshall
alfred_marshall_desc;He was, first and foremost, a brilliant and original theorist.
ALL_;All 
ALL_CORE_PROVINCE;All with cores
ALL_CORE_PROVINCE_THAT;For all core provinces 
ALL_CORE_PROVINCES;all states with core provinces
ALL_COUNTRIES_EFF;All countries
ALL_COUNTRIES_THAT_EFF;All countries that
ALL_ORG_POP_IS_ATLEAST_TRIGGER;即$IDEOLOGY$劬 has organisation of at least 即$ORGANISATION$劬 or popularity above 即$POPULARITY$劬.\n
ALL_ORG_POP_IS_NOT_TRIGGER;即$IDEOLOGY$劬 does not have即$ORGANISATION$劬 in organisation and 即$POPULARITY$劬 in popularity劬.\n
ALL_PLAYERS_HERE;All players here.
ALL_POPS_IN;All pops in $LOC$
ALL_POPS_IN_THAT;All pops in $LOC$ where
ALL_SATES;all states
all_trade_unions;All Allowed
all_trade_unions_desc;All trade unions are allowed.
all_trade_unions_l;All Trade Unions
ALLIANCE_BUTTON;Form Alliance
ALLIANCE_DESC;If a country accepts our Alliance offer, it may come to our assistance during wars.
ALLIANCE_DI;Alliance Offer
ALLIANCE_EFFECT;Alliance with 即$WHO$劬.\n
ALLIANCE_INVALID_GPS_IN_CRISIS;The Alliance between 即two Great Powerse! can't be formed when the 即crisise! is active.
ALLIANCE_OFFER;$ACTOR$ offers us an Alliance. By accepting it we are promising to help each other in times of war.
ALLIANCE_OTHER_ACCEPT_1;即$RECIPIENT$劬
ALLIANCE_OTHER_ACCEPT_2;$MONARCHTITLE$, 即$RECIPIENT$劬
ALLIANCE_OTHER_ACCEPT_3;entered a Military Alliance
ALLIANCE_OTHER_ACCEPT_4;with their new ally
ALLIANCE_OTHER_ACCEPT_5;即$ACTOR$劬
ALLIANCE_OTHER_ACCEPT_6;*
ALLIANCE_OTHER_ACCEPT_BTN1;OK
ALLIANCE_OTHER_ACCEPT_BTN2;OK
ALLIANCE_OTHER_ACCEPT_BTN3;Go to
ALLIANCE_OTHER_ACCEPT_HEADER;The Foreign Minister reports
ALLIANCE_OTHER_ACCEPT_LOG;即$ACTOR$劬 entered a Military Alliance with 即$RECIPIENT$劬
ALLIANCE_OTHER_ACCEPT_SETUP;When a nation accepts another nation's alliance offer
ALLIANCE_OTHER_DECLINE_1;即$RECIPIENT$劬
ALLIANCE_OTHER_DECLINE_2;$MONARCHTITLE$, 即$RECIPIENT$劬
ALLIANCE_OTHER_DECLINE_3;declined 即$ACTOR$劬's request
ALLIANCE_OTHER_DECLINE_4;to join their
ALLIANCE_OTHER_DECLINE_5;Military Alliance
ALLIANCE_OTHER_DECLINE_6;*
ALLIANCE_OTHER_DECLINE_BTN1;OK
ALLIANCE_OTHER_DECLINE_BTN2;OK
ALLIANCE_OTHER_DECLINE_BTN3;Go to
ALLIANCE_OTHER_DECLINE_HEADER;The Foreign Minister reports
ALLIANCE_OTHER_DECLINE_LOG;$RECIPIENT$ declined a Military Alliance offer from $ACTOR$.
ALLIANCE_OTHER_DECLINE_SETUP;When a nation declines another nation's alliance offer
ALLIANCE_THEY_ACCEPT_1;即$RECIPIENT$劬
ALLIANCE_THEY_ACCEPT_2;$MONARCHTITLE$, 即$RECIPIENT$劬
ALLIANCE_THEY_ACCEPT_3;accepted
ALLIANCE_THEY_ACCEPT_4;our offer to enter into a
ALLIANCE_THEY_ACCEPT_5;Military Alliance
ALLIANCE_THEY_ACCEPT_6;*
ALLIANCE_THEY_ACCEPT_BTN1;Perfect!
ALLIANCE_THEY_ACCEPT_BTN2;Perfect!
ALLIANCE_THEY_ACCEPT_BTN3;Go to
ALLIANCE_THEY_ACCEPT_HEADER;The Foreign Minister reports
ALLIANCE_THEY_ACCEPT_LOG;$RECIPIENT$ entered our Military Alliance.
ALLIANCE_THEY_ACCEPT_SETUP;When a nation accepts our alliance offer
ALLIANCE_THEY_DECLINE_1;An ambassador from 即$RECIPIENT$劬
ALLIANCE_THEY_DECLINE_2;$MONARCHTITLE$, we bring serious news:
ALLIANCE_THEY_DECLINE_3;即$RECIPIENT$劬
ALLIANCE_THEY_DECLINE_4;rejected our
ALLIANCE_THEY_DECLINE_5;Military Alliance
ALLIANCE_THEY_DECLINE_6;proposal.
ALLIANCE_THEY_DECLINE_BTN1;OK
ALLIANCE_THEY_DECLINE_BTN2;OK
ALLIANCE_THEY_DECLINE_BTN3;Go to
ALLIANCE_THEY_DECLINE_HEADER;The Foreign Minister reports that
ALLIANCE_THEY_DECLINE_LOG;$RECIPIENT$ declined our Military Alliance offer.
ALLIANCE_THEY_DECLINE_SETUP;When a nation declines our alliance offer
ALLIANCE_WE_ACCEPT_1;Alliance accepted!
ALLIANCE_WE_ACCEPT_2;$MONARCHTITLE$, we
ALLIANCE_WE_ACCEPT_3;agreed
ALLIANCE_WE_ACCEPT_4;to enter a
ALLIANCE_WE_ACCEPT_5;Military Alliance with
ALLIANCE_WE_ACCEPT_6;即$ACTOR$劬
ALLIANCE_WE_ACCEPT_BTN1;Perfect!
ALLIANCE_WE_ACCEPT_BTN2;Perfect!
ALLIANCE_WE_ACCEPT_BTN3;Go to
ALLIANCE_WE_ACCEPT_LOG;We entered a Military Alliance with $ACTOR$.
ALLIANCE_WE_ACCEPT_SETUP;When we accept another nation's alliance offer
ALLIANCE_WE_ACCEPT_SETUP;When we accept someone's alliance offer
ALLIANCE_WE_DECLINE_1;Alliance rejected!
ALLIANCE_WE_DECLINE_2;$MONARCHTITLE$ we rejected
ALLIANCE_WE_DECLINE_3;即$ACTOR$劬's
ALLIANCE_WE_DECLINE_4;Military Alliance
ALLIANCE_WE_DECLINE_5;proposal.
ALLIANCE_WE_DECLINE_6;*
ALLIANCE_WE_DECLINE_BTN1;OK
ALLIANCE_WE_DECLINE_BTN2;OK
ALLIANCE_WE_DECLINE_BTN3;Go to
ALLIANCE_WE_DECLINE_HEADER;The Foreign Minister reports
ALLIANCE_WE_DECLINE_LOG;We declined a Military Alliance offer from $ACTOR$.
ALLIANCE_WE_DECLINE_SETUP;When we decline another nation's alliance offer
ALLIANCENEWDESC;Do you wish to offer an Alliance to $COUNTRY$? Doing so will oblige us to assist each other in times of war.
ALLIANCEREQDESC;$ACTOR$ offers us an Alliance. By accepting it we are promising to help each other in times of war.
ALLIANCETITLE;Offer Alliance
ALLIED_WITH;Allied with:
ALLIEDWITH;Allied with $LIST$.
ALLIEDWITHTHEM;We are allied with them.
ALLIES;Allies:
ALLOWDEBTDESC;Request to be allowed to accumulate debt during wartime when trading with them.
ALLOWDEBTDESC_BAD;Allow the nation to accumulate debt during wartime when trading with you.
ALLOWDEBTNEWDESC;Do you wish to request permission to accumulate debt when trading with 即$NAME$劬? \n This will allow us to trade at a deficit during wartime, a debt that will be repaid over 即$YEAR$劬 years when peace resumes.\nThis action will cost us 即$COST$劬 influence points.
ALLOWDEBTTITLE;Allow Debt
ALLOWED_CAUSE;Possible here, due to the following...
ALLREADYTHERE;This building is already built.
ALLYTAKEOVER_1;$ACTOR$
ALLYTAKEOVER_2;They inform us that because of their superior might and military expertise they have assumed
ALLYTAKEOVER_3;Leadership in the war
ALLYTAKEOVER_4;against
ALLYTAKEOVER_5;$TARGETLIST$
ALLYTAKEOVER_6;From now on they will handle all negotiations.
ALLYTAKEOVER_BTN1;OK
ALLYTAKEOVER_BTN2;OK
ALLYTAKEOVER_BTN3;Go to
ALLYTAKEOVER_HEADER;The Foreign Minister reports
ALLYTAKEOVER_LOG;$ACTOR$ assumed leadership in our war against $TARGETLIST$.
